UID,mean.annual.flow,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.ISC,tmax.annual,tmin.annual,pct.ag,pct.urb,pct.for
10887,1.70765,14.47,2235.51,1976.28,1754.81,480.704,0,14.69,-0.83,0,0,0.006
10888,2.26829,9.8,2089.25,1890.38,1771.49,317.758,0.026,13.82,-0.95,0,0,0
10889,2.32829,20.891,3459.37,2424.76,1684.21,1775.16,0.314,15.6,-1.76,4.859,5.1,22.185
10890,2.43864,3.568,2294.83,2066.83,1912.97,381.857,0.068,13.85,0.7,0,0,17.588
10893,2437.59542,15741.06,3459.37,1875.51,1404.57,2054.81,0.233,18.47,0.73,2.18,0.978,5.51
10895,,,,,,,,,,,,
10896,13.14919,2500.638,2661.25,1675.83,1293.14,1368.11,0.102,17.79,1.29,0.485,0.484,0.465
10897,34.71553,2648.445,2661.11,1697.73,1337.28,1323.84,0.096,18,0.97,0.726,0.061,0.465
10898,3.00844,50.323,2663.36,2049.85,1537.38,1125.99,0.011,15.79,1.9,0,0,0.027
10899,10.66366,82.773,3582.03,2703.59,1900.05,1681.98,0.046,16.31,-0.9,0,0,61.844
10900,0.25301,7496.426,3459.37,1910.54,1534.29,1925.08,0.301,16.94,-1.45,2.946,1.165,3.883
10901,306.73007,15404.289,3483.9,1513.57,443.662,3040.24,0.198,27.95,10.48,0.689,0.511,19.945
10918,4.35493,470.308,2687.01,1902.9,1586.51,1100.5,0.222,18.55,0.66,0.927,0.35,11.23
10922,2930.93378,30340.387,3459.37,1762.72,1285.99,2173.38,0.236,18.77,1.4,2.507,0.899,3.926
10926,118.61256,2945.321,2637.75,1713.68,1382.84,1254.91,0.093,18.76,1.35,1.109,0.179,1.099
10927,60.61357,776.194,3020.04,2065.1,1598.68,1421.36,0.112,15.39,-1.43,0.029,0.473,4.343
10928,3.62817,579.008,2586.55,1793.5,1347.82,1238.73,0.049,17.26,0.6,0.039,0,0.501
10951,0.28667,1.404,3250.31,2913.73,2614.72,635.591,0,11.19,-1.46,0,0,85.833
10954,1.22399,1851.924,3473.9,2095.9,1414.6,2059.3,1.072,18.96,0.59,4.475,3.065,26.009
10956,2970.35327,32403.46,3459.37,1744.44,1240.33,2219.04,0.241,19.7,1.43,2.361,0.882,3.812
10958,386.36519,2821.604,3003.43,1680.6,1324.08,1679.35,0.188,16.9,-0.07,6.372,0.974,27.201
10962,2458.36596,15841.229,3459.37,1873.35,1381.83,2077.54,0.234,18.85,1.44,2.175,0.986,5.476
10963,1.41479,7.226,2490.59,2200.02,2038.76,451.824,0.097,12.14,-0.9,0,0,14.958
10964,0.13559,7.537,2757.46,2266.15,1780.25,977.214,0.067,13.79,2.88,0,0,17.913
10965,655.26564,2144.811,3473.9,2032.78,1342.93,2130.97,2.12,19.23,1.49,3.983,5.11,23.419
10969,1258.95557,4471.258,2821.99,1639.59,669.943,2152.05,0.344,20.06,5.01,0.66,1.148,73.677
10971,218.83589,2311.749,3172.36,1947.4,1624.54,1547.83,0.224,16.16,-2.09,0.08,0.387,0.542
10973,2656.84885,19564.777,3459.37,1836.7,1357.42,2101.96,0.214,18.92,1.18,2.059,0.868,4.626
10978,134.22375,1419.148,3172.36,1969,1710.5,1461.86,0.259,15.06,-2.48,0.102,0.573,0.878
10979,4.16478,90.38,2661.11,2075.54,1816.73,844.378,0.032,13.69,0.49,0,0,0.577
10989,2820.06796,23978.413,3459.37,1801.98,1330.95,2128.42,0.218,18.61,1.63,2.164,0.856,4.809
10990,9.69674,1865.56,3083.69,1889.7,1561.82,1521.86,0.114,17.23,-1.22,0.674,0.207,14.295
10991,2.31654,22.221,3384.27,2936.21,2556.58,827.694,0.046,11.25,-2.34,0,0,42.624
10992,2943.50334,30847.637,3459.37,1758.03,1262.06,2197.31,0.238,19.17,1.89,2.475,0.895,3.915
10993,,,,,,,,,,,,
10994,12502.55955,29282.053,3872.87,1385.35,111.426,3761.44,0.355,22.08,6.7,7.341,1.896,50.7
